t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
8.000000,5.374678,0.042815,0.007604,0.000028,0.000063,-0.000004,481.262848,1.568024,0.460933,41.659724,44.965707,7000.039960,0.072057,-1.000000,-0.679224,-1.000000
16.900000,5.374447,0.042756,0.007691,0.003147,0.030030,0.009263,481.263550,1.568726,0.460392,41.659724,44.965707,6999.411833,0.026476,-0.717644,-0.198751,0.038208
17.000000,5.371227,0.041552,0.008617,0.040141,0.092146,-0.003757,481.270721,1.575897,0.460506,41.659724,44.965707,6999.411833,0.354532,-1.000000,0.174569,-0.612147
17.100000,5.366695,0.039040,0.005177,0.027978,0.104583,-0.061749,481.280334,1.585510,0.461401,41.659724,44.965707,7000.932280,-0.119888,-0.265821,0.088134,0.201728
17.200000,5.361359,0.037878,0.001175,0.052220,0.107702,-0.028502,481.287872,1.593048,0.463709,41.659724,44.965707,7000.932280,-1.000000,0.779260,-1.000000,-1.000000
17.300000,5.351008,0.035232,0.002663,0.114460,0.438019,-0.007088,481.318970,1.624146,0.467685,41.659724,44.965707,7000.918516,1.000000,0.354150,-0.055826,0.301489
17.400000,5.337518,0.031098,0.007056,0.126505,0.098411,0.010333,481.349030,1.654205,0.474361,41.659725,44.965707,7000.918516,0.198788,1.000000,1.000000,0.893961
17.500000,5.326549,0.026090,0.011164,0.139038,-0.298975,0.004825,481.333557,1.638733,0.485573,41.659725,44.965707,7000.904049,-1.000000,-0.459493,-1.000000,-0.356947
17.600000,5.320909,0.019885,0.014301,0.159074,0.010689,0.019113,481.316254,1.621460,0.498924,41.659725,44.965706,7000.904049,0.451449,-0.110119,0.154536,-0.411860
17.700000,5.314789,0.013608,0.012194,0.188674,0.020903,0.064043,481.320557,1.625732,0.512715,41.659725,44.965706,7000.888793,-0.598884,-1.000000,-0.347168,-0.369420
17.800000,5.306461,0.006816,0.007720,0.199677,0.188472,0.075225,481.325806,1.630981,0.526414,41.659725,44.965706,7000.888793,-0.647855,-0.604518,-0.886516,0.701935
17.900000,5.302537,-0.001099,0.004022,0.276339,0.370221,0.073714,481.360687,1.665863,0.539947,41.659725,44.965706,7000.871133,0.331384,-0.598077,0.900262,-1.000000
18.000000,5.300854,-0.009348,0.003892,0.341785,0.358247,0.101852,481.393738,1.698944,0.551698,41.659725,44.965706,7000.871133,-0.905124,-1.000000,0.638706,-1.000000
18.100000,5.294315,-0.019001,0.008749,0.440961,0.652258,0.126560,481.441284,1.746429,0.563461,41.659726,44.965706,7000.850074,-0.288352,-0.203433,0.645641,0.696566
18.200000,5.289822,-0.030167,0.014801,0.544181,0.791120,0.120930,481.519836,1.825012,0.573774,41.659726,44.965705,7000.850074,0.708681,0.661360,0.355011,-1.000000
18.300000,5.287865,-0.041000,0.021043,0.606963,0.328840,0.177845,481.574005,1.879181,0.583052,41.659727,44.965705,7000.827357,0.198047,-1.000000,-1.000000,-0.197618
18.400000,5.282849,-0.051701,0.029952,0.678649,-0.193964,0.261236,481.573090,1.878265,0.591908,41.659727,44.965704,7000.827357,-0.960640,-0.829929,1.000000,-0.660138
18.500000,5.277635,-0.061850,0.040833,0.798822,0.078123,0.306920,481.554474,1.859650,0.599175,41.659728,44.965704,7000.802650,-0.124323,-0.168147,0.062914,0.550849
18.600000,5.277955,-0.071947,0.051270,0.948723,0.566890,0.303945,481.579895,1.885101,0.600037,41.659728,44.965703,7000.802650,-1.000000,0.426546,-1.000000,0.753972
18.700000,5.290337,-0.084596,0.060066,1.131146,0.860211,0.290705,481.644867,1.950043,0.594220,41.659729,44.965703,7000.775621,0.052431,1.000000,-0.783623,0.104552
18.800000,5.314462,-0.099514,0.066679,1.321510,1.031006,0.276932,481.727936,2.033112,0.587871,41.659730,44.965702,7000.775621,-1.000000,-0.995532,-0.118788,0.920190
18.900000,5.346348,-0.115184,0.069468,1.506225,1.070847,0.259892,481.813049,2.118225,0.580624,41.659732,44.965701,7000.748095,0.294519,0.136583,-1.000000,-0.284563
19.000000,5.385586,-0.132485,0.067552,1.694241,0.899541,0.261827,481.894958,2.200134,0.570810,41.659733,44.965700,7000.748095,0.221185,-1.000000,0.444444,-0.626861
19.100000,5.423728,-0.148182,0.062504,1.853473,0.256126,0.296040,481.927826,2.233002,0.559229,41.659734,44.965698,7000.720113,1.000000,-1.000000,0.457440,0.735802
19.200000,5.460612,-0.160545,0.053779,2.012444,-0.421556,0.295247,481.888367,2.193542,0.546103,41.659736,44.965697,7000.720113,0.103472,1.000000,-0.365575,-0.123530
19.300000,5.499867,-0.170569,0.041040,2.191104,-0.903938,0.293770,481.781311,2.086487,0.533038,41.659737,44.965696,7000.691467,0.471698,0.062478,-0.146795,-1.000000
19.400000,5.530275,-0.175441,0.025756,2.025884,-0.658262,0.131761,481.647797,1.952972,0.520216,41.659739,44.965695,7000.691467,-1.000000,-1.000000,-0.730530,0.908134
19.500000,5.553318,-0.170724,0.014569,1.372652,0.523319,-0.141757,481.621765,1.926941,0.508673,41.659740,44.965694,7000.664065,0.343402,0.209115,-0.873319,0.117348
19.600000,5.580387,-0.162262,0.004097,1.413078,0.606700,-0.219711,481.669189,1.974365,0.496036,41.659741,44.965693,7000.664065,0.920261,-1.000000,1.000000,-0.902898
19.700000,5.602557,-0.153026,-0.005770,1.585691,0.014176,-0.179655,481.676453,1.981628,0.485349,41.659742,44.965691,7000.638198,-0.269030,-1.000000,-0.977723,-0.142659
