t,yaw,pitch,roll,speed.x,speed.y,speed.z,altBar,altRad,egt,myloclat,myloclon,weightlb,collective,bank,pitch,rudder
0.100000,5.374913,0.031626,0.000802,-0.096501,0.517161,0.023547,481.239288,1.544464,0.000000,41.659724,44.965707,7004.964901,-0.887156,1.000000,0.809253,1.000000
0.200000,5.374911,0.037060,0.002186,-0.064447,0.091013,0.025750,481.264771,1.569946,0.000000,41.659724,44.965707,7004.964901,1.000000,-0.023862,1.000000,-0.459397
0.300000,5.375733,0.041130,0.004485,-0.065310,0.100222,-0.001405,481.273254,1.578430,0.000000,41.659724,44.965707,7000.556034,-0.165228,-0.296290,-0.968372,0.589297
0.400000,5.376029,0.045593,0.002039,-0.048576,0.066102,-0.057963,481.279907,1.585083,0.000000,41.659724,44.965707,7000.556034,-0.570198,-0.689981,-0.332652,-0.032477
0.500000,5.376267,0.047295,-0.000204,0.012192,0.323292,-0.027665,481.297882,1.603058,0.000000,41.659724,44.965707,7000.556034,-0.346231,0.716559,-0.331106,-1.000000
0.600000,5.368777,0.045889,0.001939,0.059864,0.458820,0.029993,481.339325,1.644501,0.000000,41.659724,44.965707,7000.556034,-0.101056,-1.000000,-0.126978,-0.881100
0.700000,5.347061,0.041949,0.009137,0.104413,0.645121,0.074254,481.392151,1.697327,0.000000,41.659724,44.965707,7000.541649,-1.000000,-0.394378,0.930474,1.000000
0.800000,5.324963,0.035414,0.017449,0.143587,0.736185,0.043467,481.468018,1.773193,0.000000,41.659724,44.965707,7000.541649,0.600135,0.570676,0.584043,0.452268
0.900000,5.313789,0.027556,0.022254,0.169110,0.576673,0.000940,481.531219,1.836395,0.000000,41.659725,44.965707,7000.527098,-0.557092,-1.000000,0.973636,-0.209635
2.000000,5.801277,-0.077043,-0.064715,0.919021,-0.091146,-0.750175,481.639954,1.945129,0.000000,41.659727,44.965700,7000.420600,0.386077,0.295472,-0.121311,1.000000
2.100000,5.871191,-0.078763,-0.071206,0.980199,-0.017745,-0.866894,481.619446,1.924622,0.000000,41.659728,44.965699,7000.393820,-1.000000,0.755642,0.277852,-0.075107
2.200000,5.944512,-0.079180,-0.072749,1.056422,0.329699,-0.997431,481.615997,1.921173,0.000000,41.659729,44.965698,7000.393820,-0.405957,-1.000000,-0.519772,-0.052097
2.300000,6.012582,-0.079976,-0.067525,1.169702,0.924646,-1.131936,481.665283,1.970459,0.000000,41.659729,44.965696,7000.365838,-1.000000,0.370987,-0.507448,0.797659
2.400000,6.074391,-0.082260,-0.062328,1.276028,1.335765,-1.304468,481.757019,2.062195,0.000000,41.659730,44.965694,7000.365838,-0.381321,-1.000000,-1.000000,0.655760
2.500000,6.140709,-0.086149,-0.060083,1.378925,1.729460,-1.487455,481.893036,2.198212,0.000000,41.659732,44.965693,7000.337193,-1.000000,-1.000000,-1.000000,-0.044380
2.600000,6.204900,-0.091665,-0.061412,1.471724,2.099464,-1.663497,482.065186,2.370361,0.000000,41.659733,44.965691,7000.337193,-0.368482,0.013735,0.420326,1.000000
2.700000,6.264765,-0.097658,-0.066146,1.530214,2.254824,-1.813017,482.251068,2.556244,0.000000,41.659735,44.965689,7000.310952,-0.662824,-0.965966,-0.730112,-1.000000
2.800000,0.040882,-0.104405,-0.072545,1.604995,2.552417,-1.928983,482.459442,2.764587,0.000000,41.659737,44.965686,7000.310952,-1.000000,0.129938,-0.176243,0.076019
2.900000,0.091175,-0.112536,-0.075929,1.688260,2.730859,-2.053225,482.701385,3.006561,0.000000,41.659739,44.965684,7000.286203,1.000000,-0.924212,-0.786758,1.000000
3.000000,0.140978,-0.119507,-0.081590,1.711094,2.305214,-2.212810,482.907501,3.212677,0.000000,41.659741,44.965682,7000.286203,-1.000000,-0.273026,1.000000,1.000000
3.100000,0.200771,-0.124854,-0.093322,1.735318,2.020684,-2.397541,483.079132,3.384308,0.000000,41.659743,44.965680,7000.260252,0.312394,-0.258341,-0.887410,0.096211
3.200000,0.263312,-0.128722,-0.108244,1.749690,1.761367,-2.568984,483.226227,3.531403,0.000000,41.659746,44.965678,7000.260252,0.169414,0.480696,0.253169,-1.000000
3.300000,0.319321,-0.130810,-0.122664,1.752793,1.330648,-2.717986,483.319275,3.624451,0.000000,41.659748,44.965676,7000.233638,-0.322366,-1.000000,0.536941,1.000000
3.400000,0.377103,-0.131474,-0.137455,1.774628,1.180484,-2.913136,483.379181,3.684357,0.000000,41.659751,44.965674,7000.233638,-1.000000,-0.052023,0.382879,-0.847900
3.500000,0.432285,-0.132352,-0.148552,1.879228,1.917507,-3.093929,483.459045,3.764221,0.000000,41.659754,44.965672,7000.205822,-1.000000,-0.673614,-1.000000,-0.413948
3.600000,0.471630,-0.137503,-0.150126,2.009382,2.625079,-3.247635,483.610840,3.916016,0.000000,41.659757,44.965670,7000.205822,0.155845,-0.494447,0.220433,-0.209410
3.700000,0.505011,-0.145369,-0.145413,2.100426,2.640835,-3.407982,483.795929,4.101105,0.000000,41.659761,44.965668,7000.176596,-0.829906,0.247914,-0.348501,-0.341291
3.800000,0.533153,-0.154182,-0.136775,2.195543,2.456857,-3.591881,483.970215,4.275391,0.000000,41.659765,44.965666,7000.176596,0.408590,-0.718780,-0.634029,0.823852
3.900000,0.562851,-0.161820,-0.129655,2.276329,2.256807,-3.784261,484.110352,4.415527,0.000000,41.659769,44.965665,7000.149484,-1.000000,0.515171,-0.109822,-0.353499
4.000000,0.597328,-0.169232,-0.123307,2.346879,1.942040,-3.968551,484.235168,4.540344,0.000000,41.659773,44.965663,7000.149484,1.000000,1.000000,1.000000,-0.093140
4.100000,0.630757,-0.175630,-0.117421,2.404171,1.362623,-4.135927,484.309906,4.615082,0.000000,41.659777,44.965661,7000.123865,-0.688738,-1.000000,0.496235,0.639179
4.200000,0.665163,-0.179804,-0.114201,2.455434,0.965727,-4.315257,484.327484,4.632660,0.000000,41.659781,44.965660,7000.123865,-1.000000,0.296366,-0.199711,1.000000
4.300000,0.707907,-0.182602,-0.112792,2.533642,1.364225,-4.547603,484.338745,4.643921,0.000000,41.659786,44.965658,7000.096505,-1.000000,1.000000,0.194187,0.049709
4.400000,0.754489,-0.186281,-0.111098,2.652292,2.424141,-4.807347,484.426971,4.732147,0.000000,41.659791,44.965657,7000.096505,-1.000000,-0.556139,-1.000000,0.039843
4.500000,0.796017,-0.191923,-0.108232,2.723897,2.922226,-4.992491,484.587341,4.892517,0.000000,41.659796,44.965656,7000.069393,0.167388,1.000000,-0.819626,-1.000000
4.600000,0.827303,-0.199413,-0.100512,2.804478,2.711766,-5.097578,484.764984,5.070160,0.000000,41.659802,44.965656,7000.069393,0.133998,0.595860,0.997007,-0.445111
4.700000,0.844759,-0.207359,-0.088649,2.948019,2.327646,-5.181838,484.903778,5.208954,0.000000,41.659807,44.965655,7000.043359,-0.676813,0.262748,-0.176385,0.204957
4.800000,0.859897,-0.214463,-0.078422,3.121690,2.284219,-5.310610,485.014008,5.319183,0.000000,41.659813,44.965655,7000.043359,-0.426394,1.000000,-0.732653,0.585130
